Date,Wilayah,Lokasi,Engine,Irigator,Jenis Irigator,Plan Time,Luas Siram,Kecepatan Rata-rata,Tebal Siram,Prepare Time,Operating Time,Waiting Time,Repair,Down Time,Standby,Off Time,Tot. Oper. Time,Total Avail,Total Time,% Availability,% Utilization,Air,Solar Terpakai (ltr),Biaya Solar (Std),Biaya Upah,Biaya Alat,Biaya Total,Rp/Ha,Ha/Hari,Ha/Jam,Solar Ltr/jam,Solar Ltr/Ha,Jenis Engine
31-Mei,AW10,114F,SPC0222,ITI0285,ITI,"22,00","4,62","30,00","18,00","2,00","22,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","91,67","900,00",160,Rp5.130.928,Rp906.088,Rp3.610.816,Rp9.647.832,Rp2.088.275,"4,62","0,21","7,27","34,63",SPC
31-Mei,AW10,120B,SPC0221,ITI0286,ITI,"22,00","4,62","30,00","15,00","2,00","22,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","91,67","860,00",160,Rp5.130.928,Rp906.088,Rp3.610.816,Rp9.647.832,Rp2.088.275,"4,62","0,21","7,27","34,63",SPC
31-Mei,AW10,123D,SPE0014,ITI0292,ITI,"22,00","5,32","30,00","18,00","5,00","19,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","79,17","1.140,00",0,Rp3.040,Rp864.978,Rp5.821.752,Rp6.689.770,Rp1.257.476,"5,32","0,28","0,00","0,00",SPE
31-Mei,AW11,139J,SPC0188,BTI0028,BTI,"22,00","3,35","30,00","20,00","0,00","15,00","2,00","7,00","0,00","0,00","0,00","15,00","17,00","24,00","70,83","88,24","600,00",124,Rp3.498.360,Rp684.192,Rp2.461.920,Rp6.644.472,Rp1.983.424,"3,35","0,22","8,27","37,01",SPC
31-Mei,AW11,142E,DEM0039,BTI0084,BTI,"6,42","1,00","30,00","22,00","2,00","5,00","0,00","0,00","0,00","0,00","0,00","7,00","7,00","7,00","100,00","71,43","250,00",55,Rp521.715,Rp274.033,Rp551.165,Rp1.346.913,Rp1.346.913,"1,00","0,20","11,00","55,00",DEM
31-Mei,AW11,135C,DEC0044,ITI0011,ITI,"22,00","3,27","30,00","20,00","8,00","15,50","0,50","0,00","0,00","0,00","0,00","23,50","24,00","24,00","100,00","64,58","560,00",183,Rp3.039.860,Rp622.923,Rp1.952.954,Rp5.615.737,Rp1.717.351,"3,27","0,21","11,81","55,96",DEC
31-Mei,AW11,124D,SPC0113,ITI0010,ITI,"22,00","4,15","30,00","18,00","4,00","20,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","83,33","690,00",110,Rp4.664.480,Rp811.610,Rp3.282.560,Rp8.758.650,Rp2.110.518,"4,15","0,21","5,50","26,51",SPC
31-Mei,AW11,136B,SPC0099,ITI0236,ITI,"11,00","1,68","30,00","18,00","4,00","8,00","0,00","0,00","0,00","0,00","0,00","12,00","12,00","12,00","100,00","66,67","308,00",76,Rp1.865.792,Rp298.884,Rp1.313.024,Rp3.477.700,Rp2.070.060,"1,68","0,21","9,50","45,24",SPC
31-Mei,AW11,136B,SPC0099,ITI0011,ITI,"11,00","2,41","30,00","18,00","1,50","10,50","0,00","0,00","0,00","0,00","0,00","12,00","12,00","12,00","100,00","87,50","416,00",91,Rp2.448.852,Rp361.735,Rp1.723.346,Rp4.533.933,Rp1.881.300,"2,41","0,23","8,67","37,76",SPC
31-Mei,AW12,155H,SPC0126,ITI0180,ITI,"22,00","3,80","40,00","18,00","2,00","13,50","1,00","7,50","0,00","0,00","0,00","15,50","16,50","24,00","68,75","81,82","560,00",130,Rp3.148.524,Rp718.611,Rp2.215.730,Rp6.082.865,Rp1.600.754,"3,80","0,28","9,63","34,21",SPC
31-Mei,AW13,190B1,SPC0100,ITI0038,ITI,"22,00","2,94","30,00","22,00","4,00","13,00","0,00","0,00","0,00","0,00","7,00","17,00","24,00","24,00","100,00","76,47","720,00",125,Rp3.031.912,Rp756.130,Rp2.133.664,Rp5.921.706,Rp2.014.186,"2,94","0,23","9,62","42,52",SPC
31-Mei,AW13,190D,SPC0065,ITI0118,ITI,"22,00","3,50","40,00","20,00","8,00","14,00","0,00","0,00","0,00","0,00","2,00","22,00","24,00","24,00","100,00","63,64","580,00",122,Rp3.265.136,Rp751.690,Rp2.297.792,Rp6.314.618,Rp1.804.177,"3,50","0,25","8,71","34,86",SPC
31-Mei,AW13,158R,SPC0101,ITI0159,ITI,"19,25","2,20","30,00","22,00","5,00","8,00","0,00","2,00","0,00","0,00","6,00","13,00","19,00","21,00","90,48","61,54","320,00",60,Rp1.865.792,Rp585.206,Rp1.313.024,Rp3.764.022,Rp1.710.919,"2,20","0,28","7,50","27,27",SPC
31-Mei,AW14,161E,DEC0025,BTI0061,BTI,"11,00","2,27","30,00","22,00","0,00","9,00","0,00","0,00","0,00","0,00","3,00","9,00","12,00","12,00","100,00","100,00","350,00",65,Rp1.765.080,Rp512.526,Rp1.133.973,Rp3.411.579,Rp1.502.898,"2,27","0,25","7,22","28,63",DEC
31-Mei,AW14,163C,DEC0025,ITI0029,ITI,"22,00","3,25","30,00","17,50","2,50","13,00","0,00","0,00","0,00","0,00","8,50","15,50","24,00","24,00","100,00","83,87","448,00",77,Rp2.549.560,Rp715.491,Rp1.637.961,Rp4.903.012,Rp1.508.619,"3,25","0,25","5,92","23,69",DEC
